dayname,color,theme,introit,gradual
"Trinity 14","Green","Thanksgiving: The Ten Lepers","O God, behold our Shield, and look upon the face of Your Anointed. A day in Your courts is better than a thousand. How lovely is Your tabernacle, O Lord of Hosts! My soul longs, yes, even faints, for the courts of the Lord. Glory...","<span class=""liturgist"">And to sing praises to Your Name, O Most High.</span><br><span class=""congregation"">To declare Your lovingkindness in the morning</span><br><span class=""liturgist"">And Your faithfulness every night.</span><br><span class=""congregation"">Praise is awaiting You, O God, in Zion;</span><br><span class=""liturgist"">And to You the vow shall be performed.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 15","Green","Contentment: Lilies of the Field","Bow down Your ear, O Lord, hear me. You are my God, save Your servant who trusts in You! Be merciful to me, O Lord, for I cry to You all day long. Rejoice the soul of Your servant, For to You, O Lord, I lift up my soul. Glory...","<span class=""liturgist"">Than to put confidence in man.</span><br><span class=""congregation"">It is better to trust in the Lord</span><br><span class=""liturgist"">Than to put confidence in princes.</span><br><span class=""congregation"">O God, my heart is steadfast;</span><br><span class=""liturgist"">I will sing and give praise, even with my glory.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 8","Green","Beware of False Prophets","We have thought, O God, on Your lovingkindness, in the midst of Your temple. According to Your Name, O God, so is Your praise to the end of the earth. Great is the Lord, and greatly to be praised, In the city of our God, in the mountain of His holiness. Glory...","<span class=""liturgist"">A fortress of defense to save me.</span><br><span class=""congregation"">In You, O Lord, I put my trust,</span><br><span class=""liturgist"">Let me not be ashamed.</span><br><span class=""congregation"">Give ear, O my people, to my law;</span><br><span class=""liturgist"">Incline your ears to the words of my mouth.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 9","Green","Stewardship: The Wise Steward","Behold, God is my helper; the Lord is with those who uphold my soul. He will repay my enemies for their evil. Cut them off in Your truth. Save me, O God, by Your Name, And vindicate me by Your strength. Glory...","<span class=""liturgist"">You who set Your Glory above the heavens.</span><br><span class=""congregation"">The heart of the righteous is steadfast;</span><br><span class=""liturgist"">Surely he will never be shaken.</span><br><span class=""congregation"">Blessed is the man who fears the Lord,</span><br><span class=""liturgist"">Who delights greatly in His commands.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Monday of Holy Week","Purple","","",""
"Trinity 1","Green","Apostles and Prophets: Rich Man and Lazarus","I have trusted in Your mercy, my heart shall rejoice in Your salvation. I will sing to the Lord, because He has dealt bountifully with me. How long, O Lord? Will You forget me forever? How long will You hide Your face from me? Glory...","<span class=""liturgist"">Heal my soul, for I have sinned against You.”</span><br><span class=""congregation"">Blessed is he who considers the poor;</span><br><span class=""liturgist"">The Lord will deliver him in time of trouble.</span><br><span class=""congregation"">Give ear to my words, O Lord,</span><br><span class=""liturgist"">Consider my meditation.</span><br><span class=""congregation"">Blessed be the Lord God of our fathers,</span><br><span class=""liturgist"">Praise Him and highly exalt Him forever.</span>"
"Trinity 2","Green","Invitation: The Great Supper","The Lord was my Support. He brought me out into a broad place. He delivered me because He delighted in me. I will love You, O Lord, my Strength; The Lord is my Rock and my Fortress. Glory...","<span class=""liturgist"">And He heard me.</span><br><span class=""congregation"">Deliver my soul, O Lord,</span><br><span class=""liturgist"">From lying lips and from a deceitful tongue.</span><br><span class=""congregation"">God is a just judge,</span><br><span class=""liturgist"">And God is angry with the wicked every day.</span><br><span class=""congregation"">Blessed be the Lord God of our fathers,</span><br><span class=""liturgist"">Praise Him and highly exalt Him forever.</span>"
"Trinity 3","Green","Evangelism: Lost Sheep","Turn Yourself to me and have mercy on me, for I am desolate and afflicted. Look on my affliction and my pain, and forgive all my sins. To You, O Lord, I lift up my soul. O my God, I trust in You, let me not be ashamed. Glory...","<span class=""liturgist"">And He shall sustain you.</span><br><span class=""congregation"">I will call upon God, and the Lord shall save me.</span><br><span class=""liturgist"">He has redeemed my soul in peace.</span><br><span class=""congregation"">I will love You, O Lord, my Strength;</span><br><span class=""liturgist"">The Lord is my Rock and my Fortress and my Deliverer.</span><br><span class=""congregation"">Blessed be the Lord God of our fathers,</span><br><span class=""liturgist"">Praise Him and highly exalt Him forever.</span>"
"Trinity 4","Green","Christian Unity and Peace","The Lord is my Light and my Salvation; Whom shall I fear? The Lord is the Strength of my life; of whom shall I be afraid? When the wicked came up against me, my enemies and my foes, They stumbled and fell. Though an army should encamp against me, My heart shall not fear. Glory...","<span class=""liturgist"">Why should the nations say, “Where is their God?”</span><br><span class=""congregation"">Help us, O God of our salvation,</span><br><span class=""liturgist"">For the glory of Your Name deliver us.</span><br><span class=""congregation"">You sat on the throne judging in righteousness;</span><br><span class=""liturgist"">Be a Refuge for the oppressed in times of trouble.</span><br><span class=""congregation"">Blessed be the Lord God of our fathers,</span><br><span class=""liturgist"">Praise Him and highly exalt Him forever.</span>"
"Trinity 5","Green","Discipleship: Following Christ","Hear, O Lord, when I cry with my voice; You have been my Help. Do not leave me or forsake me, O God of my salvation. The Lord is my Light and my Salvation; Whom shall I fear? Glory...","<span class=""liturgist"">And look upon the face of Your Anointed.</span><br><span class=""congregation"">O Lord God of hosts,</span><br><span class=""liturgist"">Hear our prayer.</span><br><span class=""congregation"">The king shall have joy in Your strength,</span><br><span class=""liturgist"">And in Your salvation how greatly shall he rejoice!</span><br><span class=""congregation"">Blessed be the Lord God of our fathers,</span><br><span class=""liturgist"">Praise Him and highly exalt Him forever.</span>"
"Trinity 6","Green","Sin and Righteousness","The Lord is the Strength of His people, He is the saving Strength of His Anointed. Save Your people and bless Your inheritance, shepherd them and bear them up forever. To You I will cry, O Lord, my Rock; do not be silent to me, Lest, if You are silent to me, I become like those who go down to the pit. Glory...","<span class=""liturgist"">Have compassion on Your servants.</span><br><span class=""congregation"">Lord, You have been our dwelling place</span><br><span class=""liturgist"">In all generations.</span><br><span class=""congregation"">In You, O Lord, I put my trust; let me never be ashamed, deliver me in Your righteousness.</span><br><span class=""liturgist"">Bow down Your ear to me, deliver me speedily.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 7","Green","Providence: Jesus Feeds Four Thousand","Oh, clap your hands, all you peoples! Shout to God with the voice of triumph. For the Lord Most High is awesome. He will subdue the peoples under us, And the nations under our feet. Glory...","<span class=""liturgist"">I will teach you the fear of the Lord.</span><br><span class=""congregation"">They looked to Him and were radiant,</span><br><span class=""liturgist"">And their faces were not ashamed.</span><br><span class=""congregation"">O, clap your hands, all you peoples!</span><br><span class=""liturgist"">Shout to God with the voice of triumph.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Third Last","Green","Signs of the End Times","Have mercy on me, O LORD, for I am in trouble; Deliver me from the hand of my enemies, And from those who persecute me. Do not let me be ashamed, O LORD, for I have called upon You; In You, O LORD, I put my trust; Let me never be ashamed. Glory...","<span class=""liturgist"">They set up their banners for signs.</span><br><span class=""congregation"">Remember Your congregation, which You purchased of old,</span><br><span class=""liturgist"">The tribe of Your inheritance, which You have redeemed.</span><br><span class=""congregation"">There is a river whose streams shall make glad the city of God,</span><br><span class=""liturgist"">God is in the midst of her, she shall not be moved.</span><br><span class=""congregation"">Behold, I am coming quickly.</span><br><span class=""liturgist"">Amen. Even so, come, Lord Jesus!</span>"
