dayname,type,number
Epiphany,ilcwa,18
Epiphany,ilcwa,19
Pentecost second,ilcwb,70
Pentecost second,ilcwc,70
Pentecost second,ilcwa,70
Festival of the Reformation,ilcwb,142
Festival of the Reformation,ilcwc,142
Festival of the Reformation,ilcwa,142
Ascension,ilcwb,74
Ascension,ilcwb,75
Ascension,ilcwc,74
Ascension,ilcwc,75
Ascension,ilcwa,74
Ascension,ilcwa,75
Pentecost 19,ilcwb,82
Pentecost 19,ilcwb,83
Pentecost 19,ilcwc,82
Pentecost 19,ilcwc,83
Pentecost 19,ilcwa,82
Lent 5,ilcwb,48
Lent 5,ilcwc,48
Lent 5,ilcwa,48
Lent 4,ilcwb,143
Lent 4,ilcwb,144
Lent 4,ilcwc,143
Lent 4,ilcwc,144
Lent 4,ilcwa,143
Lent 4,ilcwa,144
Easter,ilcwb,61
Easter,ilcwb,62
Easter,ilcwb,63
Easter,ilcwc,61
Easter,ilcwc,62
Easter,ilcwc,63
Easter,ilcwa,61
Easter,ilcwa,62
Easter,ilcwa,63
Christmas,ilcwb,10
Christmas,ilcwb,11
Christmas,ilcwc,10
Christmas,ilcwc,11
Christmas,ilcwa,10
Christmas,ilcwa,11
Lent 3,ilcwb,42
Lent 3,ilcwc,42
Lent 3,ilcwa,42
Lent 2,ilcwb,44
Lent 2,ilcwb,45
Lent 2,ilcwa,46
Lent 1,ilcwb,40
Lent 1,ilcwb,41
Lent 1,ilcwc,40
Lent 1,ilcwc,41
Lent 1,ilcwa,40
Lent 1,ilcwa,41
Visitation,ilcwb,49
Visitation,ilcwb,50
Visitation,ilcwc,49
Visitation,ilcwc,50
Visitation,ilcwa,49
Visitation,ilcwa,50
Transfiguration,ilcwb,30
Transfiguration,ilcwb,31
Transfiguration,ilcwc,30
Transfiguration,ilcwc,31
Transfiguration,ilcwa,30
Transfiguration,ilcwa,31
Baptism of Jesus,ilcwb,37
Baptism of Jesus,ilcwb,38
Baptism of Jesus,ilcwc,37
Baptism of Jesus,ilcwc,38
Baptism of Jesus,ilcwa,37
Baptism of Jesus,ilcwa,38
