dayname,type,lesson1,lesson2,gospel,psalm,s2lesson,s2gospel,s3lesson,s3gospel,hymnabc,hymn,note
Pentecost,ilcwb,Ezek. 37:1-14,Ac. 2:22-36,Jn. 7:37-39a,143,,,,,2,10,
Pentecost,ilcwc,Gn. 11:1-9,Ac. 2:37-47,Jn. 15:26-16:11,143,,,,,2,10,
Pentecost,historic,Joel 2:28-32,Acts 2:1-11,John 14:23-31,104,Eph 2:17-22,John 15:1-11,Acts 2:32-41,John 14:15-21,,,
Pentecost,ilcwa,Joel 2:28-29,Acts 2:1-21,Jn. 16:5-11,143,,,,,2,10,
Pentecost 9,ilcwb,Jer. 23:1-6,Eph. 2:13-22,Mk. 6:30-34,23,,,,,465,326,
Pentecost 9,ilcwc,Gn. 18:1-14,Co. 1:21-28,Lk. 10:38-42,27,,,,,465,182,
Pentecost 9,ilcwa,Is. 44:6-8,Rom. 8:26-27,Mt. 13:24-30,119:57ff,,,,,465,25,
"St. Bartholemew, Apostle",historic,,2 Cor. 4:7-10,Luke 22:24-30,,,,,,,,
Christmas Vigil,ilcwb,Is. 9:2-7,Titus 2:11-14,Lk. 2:1-20,96,,,,,123,143,
Christmas Vigil,ilcwc,Is. 9:2-7,Titus 2:11-14,Lk. 2:1-20,96,,,,,123,143,
Christmas Vigil,historic,Is. 7:10-14,Titus 2:11-14,Luke 2:1-14,2,,,,,,,
Christmas Vigil,ilcwa,Is. 9:2-7,Titus 2:11-14,Lk. 2:1-20,96,,,,,123,143,
Easter Vigil,ilcwb,Dan. 3:13-29,1 Pet. 3:17-22,Mt. 27:57-66,,,,,,341,344,
Easter Vigil,ilcwc,Dan. 3:13-29,1 Pet. 3:17-22,Mt. 27:57-66,,,,,,341,344,
Easter Vigil,historic,Ex. 14:10-15:1,Rom. 6:3-11,Matt. 28:1-10,46,,,,,,,
Easter Vigil,ilcwa,Dan. 3:13-29,1 Pet. 3:17-22,Mt. 27:57-66,,,,,,341,344,
Palm Sunday,ilcwb,Zech. 9:9-10,Phil. 2:5-11,Mk. 15:1-39,92,,,,,280,277,
Palm Sunday,ilcwc,Dt. 32:36-39,Phil. 2:5-11,Lk. 23:1-49,92,,,,,280,277,
Palm Sunday,historic,Zech. 9:9-10,Phil. 2:5-11,Matt. 21:1-11,22,Is. 42:10-12,John 12:1-16,Is. 53:10-12,John 12:20-33,,,
Palm Sunday,ilcwa,Is. 50:4-9b,Phil. 2:5-11,Mt. 27:11-54,92,,,,,280,277,
Wednesday of Holy Week,historic,,Is. 62:11-63:7,Luke 22:1-23:42,51,,,,,,,
Michaelmas,ilcwb,Dan. 12:1-3,Rev. 12:7-12,Lk. 10:17-20,103:1-22,,,,,545,548,
Michaelmas,ilcwc,Dan. 12:1-3,Rev. 12:7-12,Lk. 10:17-20,103:1-22,,,,,545,548,
Michaelmas,historic,Gen. 28:10-22,Rev. 12:7-12,Matt. 18:1-11,103,,,,,,,
Michaelmas,ilcwa,Dan. 12:1-3,Rev. 12:7-12,Lk. 10:17-20,103:1-22,,,,,545,548,
Annunciation,ilcwb,Is. 7:10-14,1 Tim. 3:16,Lk. 1:25-38,45,,,,,268,269,
Annunciation,ilcwc,Is. 7:10-14,1 Tim. 3:16,Lk. 1:25-38,45,,,,,268,269,
Annunciation,historic,Is. 7:10-15,Heb. 10:5-10,Luke 1:26-38,40,Jer. 33:14-17,Luke 1:39-45,Rev. 21:1-7,Luke 1:46-55,,,
Annunciation,ilcwa,Is. 7:10-14,1 Tim. 3:16,Lk. 1:25-38,45,,,,,268,269,
Advent 2,ilcwb,Is. 40:1-11,2 Pet. 3:8-14,Mk. 1:1-8,19,,,,,106,102,
